feature	importance
VSUMP	0.22501563
UFUEL18	0.19456778
YCVRR	0.16588639
DSECON	0.11854866
ZPRZNO	0.101444215
CBSUMP	0.058959164
H2CONC	0.01804317
BPV145I	0.017668838
XPMOUT	0.016115295
CBINTR	0.014528923
XPMBAL	0.010290476
DRADRE	0.010237529
QCSLOC	0.0051477184
ZINST69	0.004915451
TCVLOC	0.004495129
TCIRCD	0.00445194
KFIRST	0.0021147118
ECVWL	0.0016689397
ZINST28	0.0013919236
FEICDP	0.0013845648
ZVCT	0.0011503316
WHPRH	0.0011465629
CAUTRDC	0.0010187901
PHPTIN	0.0009903692
UCTMT	0.00095558085
DECH	0.0009525507
ZINST54	0.0007595376
UCWOUT	0.00071227184
WCPLN1	0.00060131913
ZINST108	0.0005888947
BRHCV	0.0005347223
ZINST36	0.0005316556
UDHOCO2	0.0005296224
WMLOCA	0.00050964864
ZINST61	0.0004772911
HRHTR	0.00045218613
WAFWTK	0.00043360423
QOVER	0.00038028168
ZINST51	0.00037801953
BFWMAI	0.00037281265
WHPHBYA	0.00035428203
HHPRH	0.00035346506
DCTMT	0.0003410457
XSEBAL	0.0003186199
WHPDTB	0.00026127257
DNBMRG	0.000219597
WSISC2	0.0002190536
ZINST22	0.00021783344
CBRWST	0.00021483176
WRHDRNB	0.0002137481
UAVLEG1	0.00019743234
ZINST111	0.00019682686
HTIN	0.00018807652
PCVSG	0.00017948104
QPRONOR	0.00017764252
ZSGN2	0.00017029133
ULPDRNA	0.00016025906
ZSGN3	0.00015039118
ZSGLEI	0.00014626309
UNORDT	0.00012732658
WTIN	0.00012604761
UCOOL	0.00012519547
ZPRZSP	0.00011174425
UDHOCO1	0.00010076625
WRHFWP	9.7432094e-05
XPEBAL	9.721367e-05
KBCDO7	9.7192366e-05
WFWP	8.612535e-05
WHPT	8.493155e-05
WLPTEX	8.0453654e-05
ZINST2	8.018726e-05
PFWP	8.001213e-05
CBVCT	7.605889e-05
ZINST53	7.45547e-05
WCDHTR	7.406867e-05
BFV489	7.183477e-05
ZSGN1	7.016113e-05
XSEOUT	7.0124726e-05
ZINST104	6.157755e-05
ZSGLER	6.042868e-05
HLPTC	5.953133e-05
WFWCNT1	5.723307e-05
FEIHDP	5.3941116e-05
WLPT	5.0949184e-05
URHTR	4.3956865e-05
WFDW	4.3837335e-05
ULPHOUT	4.3046777e-05
ZINST50	4.270421e-05
ZINST84	4.1479172e-05
WFPLN1	4.0793508e-05
ZINST13	3.9765415e-05
UHPHOA	3.9608098e-05
CXEMPCM	3.6306454e-05
ZINST95	3.588637e-05
ZINST67	3.4417142e-05
