KCNTOMS,KBCDO23,ZINST58,Label
0,1,0.998172783,1
0.038461538,1,0.998209433,1
0.076923077,1,0.998253024,1
0.134615385,1,0.98620605,1
0.192307692,0.989130435,0.971222368,1
0.25,0.97826087,0.961273877,1
0.288461538,0.967391304,0.954985095,1
0.346153846,0.967391304,0.945155993,1
0.403846154,0.967391304,0.935251092,1
0.461538462,0.967391304,0.926041428,1
0.5,0.967391304,0.920646126,1
0.557692308,0.97826087,0.913983349,1
0.615384615,0.97826087,0.909100589,1
0.673076923,0.97826087,0.905777391,1
0.711538462,0.97826087,0.904254201,1
0.769230769,0.97826087,0.902700469,1
0.826923077,0.97826087,0.901655671,1
0.884615385,0.967391304,0.900809393,1
0.923076923,0.967391304,0.900244374,1
0.980769231,0.967391304,0.89929481,1
