KCNTOMS,KBCDO23,ZINST58
0,99,156.1829833984375
2,99,156.18499755859375
5,99,156.18861389160156
8,99,156.05967712402344
10,99,155.81417846679688
13,99,155.3297882080078
16,99,154.78981018066406
19,99,154.2084503173828
22,98,153.56277465820312
24,98,153.1051483154297
27,98,152.38140869140625
30,96,151.62062072753906
33,91,151.181396484375
35,83,151.076904296875
38,67,150.67544555664062
41,52,149.73907470703125
44,40,148.26499938964844
47,31,146.63999938964844
49,27,145.52102661132812
52,21,143.8353729248047
